Name,Fixed in,Relevant URI,Reference,Update URL
Adyen_Payment,8.1.1,/adyen/process/result,https://gist.github.com/JeroenBoersma/2052fd24509c7dfefe296f6957ac34fd,https://github.com/Adyen/adyen-magento2/releases/tag/8.1.1
Aheadworks_Layerednav,2.3.1,,https://github.com/sansecio/magevulndb/issues/93,https://aheadworks.com/layered-navigation-extension-for-magento-2#changelog
Amasty_Adminbookmarks?,1.0.5,,,https://amasty.com/magento-admin-bookmarks-for-magento-2.html
Amasty_Feed,2.6.7,,,https://amasty.com/product-feed-for-magento-2.html
Amasty_Gdpr,2.6.0,,https://amasty.com/gdpr-for-magento-2.html,https://amasty.com/gdpr-for-magento-2.html
Amasty_GeoipRedirect,1.0.13,,,https://amasty.com/geoip-redirect-for-magento-2.html
Amasty_Shopby,2.12.14,,Francis M. Gallagher,https://amasty.com/improved-layered-navigation-for-magento-2.html
Amasty_Storelocator,1.4.7,,Francis M. Gallagher,https://amasty.com/store-locator-for-magento-2.html
Amasty_Storeswitcher?,1.0.13,,,https://amasty.com/store-switcher-for-magento-2.html
AW_Blog,2.4.6,,https://ecommerce.aheadworks.com/magento-extension-updates/blog,https://ecommerce.aheadworks.com/magento-2-extensions/blog
Bss_MultiWishlist,1.2.0,,https://xn--gran-8qa.fi/bss-multiwishlist-xss-injection/,https://bsscommerce.com/magento-2-multiple-wishlists-extension.html
BlueFormBuilder_Core,2.0.2,,https://web.archive.org/web/20210320101040/https://anothernetsecblog.com/magento-2-extension-security/,
Campaigner_Integration,2.0.8,,Max Chadwick (unsafe unserialize in public controller),https://knowledge.campaigner.com/article/407-magento-extensions
Cardgate_Payment,2.0.31,/cardgate/payment/callback,https://github.com/cardgate/magento2/issues/54,https://github.com/cardgate/magento2/releases
ConnectPOS_Core,23.09.03,/rest/V2/connectpos,https://github.com/sansecio/magevulndb/pull/107,
Customweb_InternetkasseCw,4.0.339,,https://www.sellxed.com/shop/en/eur/software/changelog/index/magento-s-internetkasse-zahlungs-extension.html,
Fooman_PdfCustomiser,8.1.8,,https://twitter.com/foomanNZ/status/1118496841488748546,
Fooman_Tcpdf,6.2.25.2,,,https://mailchi.mp/fooman/important-security-update-for-pdf-customiser-3218933
Klaviyo_Reclaim,3.0.0,reclaim/checkout/cart,https://gist.github.com/JeroenBoersma/f5864a45e3df63b198a57abdff366df2,https://github.com/klaviyo/magento2-klaviyo/releases
Lof_ChatSystem,1.0.3,,https://web.archive.org/web/20210320101040/https://anothernetsecblog.com/magento-2-extension-security/,
Lof_Formbuilder,1.1.2,,https://web.archive.org/web/20210320101040/https://anothernetsecblog.com/magento-2-extension-security/,
MageWorx_Locations,1.9.7,,,https://www.mageworx.com/magento-2-store-locator-and-pickup.html
Magefan_LoginAsCustomer,2.2.3,,https://github.com/magefan/module-login-as-customer/commit/1da0bcef0f811a27aa1783c1e9e3595aa065f4e9,https://github.com/magefan/module-login-as-customer/releases/tag/2.2.3
Mageplaza_LayeredNavigation,2.3.6,,https://www.mageplaza.com/releases/layered-navigation/,https://www.mageplaza.com/magento-2-layered-navigation-extension/
Magestore_Storelocator,1.0.2,,,https://blog.magestore.com/store-locator-extension-patch/
Magestore_Storepickup,1.2.1,,,https://blog.magestore.com/store-locator-extension-patch/
Mirasvit_Blog,1.0.21,,,https://github.com/mirasvit/module-blog
Mirasvit_CacheWarmer,1.3.35,,https://mirasvit.com/docs/module-cache-warmer/current/changelog#1-3-35,https://mirasvit.com/magento-2-extensions/full-page-cache-warmer.html
Mirasvit_Giftr,1.2.23,,https://mirasvit.com/docs/module-gift-registry/current/changelog,https://mirasvit.com/magento-2-extensions/gift-registry.html
MultiSafepay_Connect,1.7.0,,https://github.com/sansecio/magevulndb/pull/59,https://github.com/MultiSafepay/Magento2Msp/releases/tag/1.7.0
Payone_Core,3.5.0,,https://github.com/PAYONE-GmbH/magento-2/releases/tag/v3.5.0,https://github.com/PAYONE-GmbH/magento-2/releases/tag/v3.5.0
StripeIntegration_Payments,1.8.8,,,https://marketplace.magento.com/stripe-stripe-payments.html
VladimirPopov_WebForms,2.9.18,,https://web.archive.org/web/20210320101040/https://anothernetsecblog.com/magento-2-extension-security/,
Wuunder_Wuunderconnector,2.1.2,wuunder/index/parcelshop,https://github.com/wuunder/wuunder-webshopplugin-magento2/issues/32,https://github.com/wuunder/wuunder-webshopplugin-magento2/releases
Wyomind_PointOfSale,7.2.3,,Kalpesh Mehta,https://www.wyomind.com/magento2/point-of-sale-magento.html#changelog
Xtento_OrderExport,2.11.3,,https://www.xtento.com/xtcustom/changelog/show/module/Xtento_OrderExport/version/m2,https://www.xtento.com/magento-extensions/magento-order-export-module.html
Xtento_OrderImport,2.1.4,,https://www.xtento.com/xtcustom/changelog/show/module/Xtento_OrderImport/version/m2,https://www.xtento.com/magento-extensions/magento-order-import-extension.html
Xtento_ProductExport,2.12.7,,https://www.xtento.com/xtcustom/changelog/show/module/Xtento_ProductExport/version/m2,https://www.xtento.com/magento-extensions/magento-product-feed-export-module.html
Xtento_StockImport,2.8.4,,https://www.xtento.com/xtcustom/changelog/show/module/Xtento_StockImport/version/m2,https://www.xtento.com/magento-extensions/magento-stock-inventory-import-module.html
Xtento_TrackingImport,2.8.0,,https://www.xtento.com/xtcustom/changelog/show/module/Xtento_TrackingImport/version/m2,https://www.xtento.com/magento-extensions/magento-tracking-number-import-module.html
